num_edges,density,avg_degree,percent_endpoints,energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,near_native
105,0.043478260869565216,3.0,0.21428571428571427,4899.9999999999982,1.940070596395749,70,1.9463014524794588,0.9523809523809523,2,0.22092068341210694,0.09404761904761905,2.7606327888221895,1
116,0.04803312629399586,3.3142857142857145,0.22857142857142856,4761.0,1.913113917807036,70,1.9999999999999976,0.9396551724137931,3,0.21544961337620874,0.13825396825396827,5.108604918026199,1
108,0.04472049689440994,3.085714285714286,0.21428571428571427,4761.0000000000055,1.9396311681833522,70,1.9579501446826104,0.9444444444444444,2,0.21200110284363946,0.11816326530612241,5.732688108717782,1
110,0.045548654244306416,3.142857142857143,0.15714285714285714,4760.9999999999882,1.9063042162617656,70,1.9360381677441048,0.9636363636363636,3,0.22738178476907797,0.10591836734693878,6.845036544127116,1
115,0.047619047619047616,3.2857142857142856,0.18571428571428572,4899.9999999999982,1.8818779756246935,70,1.9999999999999976,0.9391304347826087,3,0.20516302281813698,0.13401360544217691,8.713285706065028,1
106,0.04389233954451346,3.0285714285714285,0.21428571428571427,4899.9999999999918,1.9400696626081029,70,1.9473175688020552,0.9528301886792453,2,0.2218056253349041,0.10670068027210886,4.03998957759849,1
110,0.045548654244306416,3.142857142857143,0.17142857142857143,4900.0000000000064,1.9396911880885381,70,1.9537558074765311,0.9454545454545454,2,0.22422430742207522,0.09717687074829932,2.575623263725134,1
102,0.0422360248447205,2.914285714285714,0.21428571428571427,4900.0,1.9462733499957672,70,1.9463223018811915,0.9509803921568627,2,0.2184183827014794,0.07214285714285713,5.358012433141633,1
121,0.05010351966873706,3.4571428571428573,0.21428571428571427,4899.9999999999964,1.8949540281693482,70,2.0000000000000022,0.9256198347107438,3,0.22381349769511596,0.1635374149659864,5.361406231564097,1
104,0.043064182194616975,2.9714285714285715,0.24285714285714285,4900.0,1.9153735118897388,70,2.0000000000000004,0.9326923076923077,2,0.19187073734530885,0.15465986394557824,7.795255478599601,1
114,0.04720496894409938,3.257142857142857,0.2571428571428571,4899.9999999999964,1.9056221407744807,70,1.9999999999999998,0.9298245614035088,3,0.21396776330241038,0.15709750566893424,6.551250215085355,1
121,0.05010351966873706,3.4571428571428573,0.24285714285714285,4900.0000000000018,1.9003855392743489,70,1.9339212921901665,0.9338842975206612,3,0.24971690892450996,0.15574829931972786,5.5074075722068585,1
102,0.0422360248447205,2.914285714285714,0.18571428571428572,4489.0000000000055,1.939697760764874,68,1.94891826989312,0.9607843137254902,2,0.19957617188595858,0.10748299319727891,3.4527537020997934,1
101,0.04182194616977226,2.8857142857142857,0.17142857142857143,4899.9999999999982,1.9396775797086854,70,1.9999999999999993,0.9504950495049505,2,0.1798545367831566,0.115578231292517,9.551205358670689,1
123,0.05093167701863354,3.5142857142857142,0.17142857142857143,4761.0000000000036,1.8789860811338348,70,1.9999999999999991,0.943089430894309,3,0.2107036042263233,0.15956916099773244,7.824233075675826,1
112,0.0463768115942029,3.2,0.14285714285714285,4761.0000000000018,1.9062421345029472,70,1.9348661590695735,0.9642857142857143,3,0.22774007569826563,0.11503401360544217,4.785895478972649,1
111,0.04596273291925466,3.1714285714285713,0.14285714285714285,4900.0,1.9396966606783572,70,1.9428981354551136,0.954954954954955,3,0.22549323009773378,0.08738095238095238,1.8462041247779803,1
99,0.040993788819875775,2.8285714285714287,0.2714285714285714,4900.0000000000036,2.0,70,2.0000000000000009,0.9292929292929293,2,0.17814914511570576,0.10554421768707481,3.8732583621189085,1
109,0.045134575569358175,3.1142857142857143,0.2,4899.9999999999982,1.9999999999999987,69,1.9999999999999998,0.9357798165137615,2,0.18835347601608943,0.15197278911564627,5.7445568910037785,1
120,0.049689440993788817,3.4285714285714284,0.2,4900.0000000000036,1.8847310072374219,70,2.0000000000000004,0.9333333333333333,3,0.22747631419139488,0.17427437641723365,9.502272640806176,1
114,0.04720496894409938,3.257142857142857,0.15714285714285714,4623.9999999999982,1.9064781126869241,69,1.9148560267433339,0.9473684210526315,3,0.2283105667419481,0.14339002267573692,7.635740239064174,1
110,0.045548654244306416,3.142857142857143,0.21428571428571427,4760.9999999999964,1.9256202749360452,70,1.999999999999998,0.9272727272727272,2,0.204496992664812,0.1264965986394558,4.854136591733371,1
108,0.04472049689440994,3.085714285714286,0.17142857142857143,4489.0000000000036,1.9396881362112137,68,1.9519349166438864,0.9537037037037037,2,0.2096593052219024,0.10894557823129251,16.489928519457962,1
121,0.05010351966873706,3.4571428571428573,0.15714285714285714,4761.0000000000055,1.8520341855515745,70,2.0,0.9504132231404959,3,0.2299293392791497,0.13268707482993203,12.21435417829941,1
